"rider_type","end_station_name","number_of_rides"
"casual","Western Ave & Lunt Ave",522
"casual","63rd St Beach",520
"casual","Francisco Ave & Montrose Ave",518
"casual","Shields Ave & 28th Pl",515
"casual","Western Ave & Grace St",511
"casual","Narragansett & Wrightwood",509
"casual","Kedzie Ave & Bryn Mawr Ave",507
"casual","Keystone Ave & Montrose Ave",505
"casual","Western Ave & Howard St",496
"casual","N Southport Ave & W Newport Ave",488
"casual","Prairie Ave & 43rd St",488
"casual","Ashland Ave & Archer Ave",474
"casual","Milwaukee Ave & Cuyler Ave",465
"casual","Central St & Girard Ave",459
"casual","Cottage Grove Ave & 43rd St",457
"casual","Harlem & Irving Park",456
"casual","Racine Ave & 35th St",454
"casual","Racine Ave & 13th St",450
"casual","Elmwood Ave & Austin St",444
"casual","Pulaski Rd & Eddy St (Temp)",443
"casual","Central Park Ave & Ogden Ave",442
"casual","Warren Park East",440
"casual","2112 W Peterson Ave",432
"casual","Elizabeth St & Fulton St",432
"casual","N Shore Channel Trail & Argyle St",432
"casual","Washtenaw Ave & Ogden Ave",431
"casual","Calumet Ave & 51st St",430
"casual","Wood St & 35th St",429
"casual","Valli Produce - Evanston Plaza",421
"casual","California Ave & Lake St",415
"casual","Maplewood Ave & Peterson Ave",408
"casual","Clinton St & Polk St",407
"casual","Dorchester Ave & 49th St",406
"casual","Jeffery Blvd & 67th St",402
"casual","Burnham Greenway & 112th St",396
"casual","St. Louis Ave & Balmoral Ave",388
"casual","Pulaski Rd & 51st St",385
"casual","Ridge Blvd & Touhy Ave",384
"casual","Damen Ave & Coulter St",382
"casual","State St & 95th St",377
"casual","Kedzie Ave & George St",376
"casual","Kedzie Ave & Lake St",367
"casual","Dodge Ave & Church St",362
"casual","DuSable Museum",361
"casual","Western Ave & Gunnison St",354
"casual","MLK Jr Dr & 47th St",351
"casual","Western Ave & 24th St",351
"casual","Normal Ave & Archer Ave",340
"casual","Lincolnwood Dr & Central St",334
"casual","Kildare Ave & Montrose Ave",330
"casual","Kedzie Ave & 21st St",324
"casual","Stony Island Ave & 67th St",324
"casual","Whipple/Irving Park",322
"casual","State St & 29th St",320
"casual","Jeffery Blvd & 71st St",317
"casual","Oakley Ave & Touhy Ave",314
"casual","Eberhart Ave & 61st St",311
"casual","Elston Ave & Henderson St",309
"casual","Fairfield Ave & Roosevelt Rd",308
"casual","Lamon Ave & Belmont Ave",305
"casual","Princeton Ave & 47th St",305
"casual","Ridge Blvd & Howard St",303
"casual","Dodge Ave & Mulford St",296
"casual","N Paulina St & Lincoln Ave",291
"casual","Stony Island Ave & 64th St",289
"casual","Clark St & Jarvis Ave",284
"casual","Francisco Ave & Bloomingdale Ave",279
"casual","Lavergne & Fullerton",278
"casual","Austin Blvd & Lake St",276
"casual","Millard Ave & 26th St",275
"casual","Kedzie Ave & Roosevelt Rd",274
"casual","Kedzie Ave & 57th St",272
"casual","Lincoln Ave & Balmoral Ave",271
"casual","Kilpatrick Ave & Parker Ave",270
"casual","State St & 79th St",269
"casual","Stony Island Ave & 71st St",269
"casual","California Ave & 23rd Pl",268
"casual","Albany Ave & Belmont Ave",267
"casual","Perry Ave & 69th St",267
"casual","Dodge Ave & Main St",266
"casual","Rockwell St & Cermak Rd",266
"casual","Washtenaw Ave & Polk St",265
"casual","Bosworth Ave & Howard St",260
"casual","Wentworth Ave & 63rd St",260
"casual","Halsted St & 37th St",258
"casual","Western Blvd & 48th Pl",258
"casual","Western Ave & Berteau Ave",257
"casual","Albany Ave & 26th St",256
"casual","Hoyne Ave & 47th St",256
"casual","Indiana Ave & 40th St",256
"casual","Public Rack - Milwaukee Ave & Diversey Ave",253
"casual","Kilbourn Ave & Irving Park Rd",248
"casual","MLK Jr Dr & 63rd St",248
"casual","South Shore Dr & 74th St",245
"casual","Lincoln Ave & Peterson Ave",244
"casual","Kilbourn & Roscoe",239
"casual","Lawler Ave & 50th St",239
"casual","Archer (Damen) Ave & 37th St",236
"casual","Central Park Ave & 24th St",229
"casual","Damen Ave & Pershing Rd",225
"casual","Kenosha & Wellington",221
"casual","Sayre & Diversey",221
"casual","Public Rack - California Ave & Cortez St",220
"casual","Union Ave & Root St",218
"casual","Damen Ave & 59th St",217
"casual","Walden Pkwy & 100th St",215
"casual","Kedzie Ave & 24th St",214
"casual","W Washington Blvd & N Peoria St",214
"casual","Calumet Park",211
"casual","Narragansett & Irving Park",211
"casual","Wabash Ave & 87th St",211
"casual","Burnham Greenway & 105th St",210
"casual","Kostner Ave & Wrightwood Ave",209
"casual","Rockwell St & Archer Ave",207
"casual","Lockwood Ave & Wrightwood Ave",206
"casual","Pulaski Rd & 21st St",204
"casual","St Louis Ave & 59th St",204
"casual","Kilbourn Ave & Milwaukee Ave",203
"casual","Kilpatrick Ave & Grand Ave",202
"casual","Campbell Ave & Irving Park Rd",200
"casual","Central Ave & Chicago Ave",200
"casual","Stony Island Ave & 75th St",200
"casual","Lamon Ave & Armitage Ave",199
"casual","MLK Jr Dr & 56th St",197
"casual","Kilbourn & Belden",196
"casual","Cicero Ave & Lake St",193
"casual","Public Rack - Christiana Ave & Belmont Ave",192
"casual","Cottage Grove Ave & 67th St",189
"casual","Francisco Ave & 47th St",189
"casual","Wolcott Ave & Fargo Ave",189
"casual","Commercial Ave & 130th St",186
"casual","Komensky Ave & 31st St",185
"casual","Fullerton & Monitor",184
"casual","Princeton Ave & Garfield Blvd",184
"casual","Western Ave & 111th St",184
"casual","Hale Ave & 107th St",183
"casual","Phillips Ave & 79th St",183
"casual","Halsted St & 47th Pl",180
"casual","Shields Ave & 43rd St",180
"casual","California Ave & Marquette Rd",179
"casual","Narragansett Ave & School St",178
"casual","Big Marsh Park",177
"casual","Cottage Grove Ave & 83rd St",177
"casual","Yates Blvd & 75th St",176
"casual","Meade Ave & Diversey Ave",170
"casual","Ashland Ave & McDowell Ave",169
"casual","Long Ave & Belden Ave",169
"casual","Marshfield Ave & 44th St",169
"casual","N Damen Ave & W Chicago Ave",169
"casual","Sacramento Ave & Pershing Rd",169
"casual","Western Ave & Ardmore Ave",169
